group	symbol	weight	count	desc
MX	MX_GOOD	0	1	MX was ok
MX	MX_INVALID	1	1	No connectable MX
MX	MX_MISSING	2	1	No MX record
MX	MX_WHITE	0	1	Domain is whitelisted from MX check
Message ID	ET_1200_MID_NEQ_FROM	0	1	Message-ID RHS matches From domain
Message ID	MID_BARE_IP	2	1	Message-ID RHS is a bare IP address
Message ID	MID_CONTAINS_FROM	1	1	Message-ID contains From address
Message ID	MID_CONTAINS_TO	1	1	Message-ID contains To address
Message ID	MID_MISSING_BRACKETS	0.5	1	Message-ID is missing <>'s
Message ID	MID_RHS_IP_LITERAL	0.5	1	Message-ID RHS is an IP-literal
Message ID	MID_RHS_MATCH_FROM	0	1	Message-ID RHS matches From domain
Message ID	MID_RHS_MATCH_TO	1	1	Message-ID RHS matches To domain
Message ID	MID_RHS_NOT_FQDN	0.5	1	Message-ID RHS is not a fully-qualified domain name
arc	ARC_ALLOW	-1	2	ARC checks success
arc	ARC_CALLBACK	0	2	
arc	ARC_DNSFAIL	0	2	ARC DNS error
arc	ARC_INVALID	1	2	ARC structure invalid
arc	ARC_NA	0	2	ARC signature absent
arc	ARC_REJECT	2	2	ARC checks failed
arc	ARC_SIGNED	0	3	
blocked	DNSWL_BLOCKED	0	3	Resolver blocked due to excessive queries
blocked	DWL_DNSWL_BLOCKED	0	3	Resolver blocked due to excessive queries (dwl)
blocked	SURBL_BLOCKED	0	3	SURBL: blocked by policy/overusage
blocked	URIBL_BLOCKED	0	3	uribl.com: query refused
blocklistde	RBL_BLOCKLISTDE	4	2	From address is listed in Blocklist (https://www.blocklist.de/)
blocklistde	RECEIVED_BLOCKLISTDE	3	3	Received address is listed in Blocklist (https://www.blocklist.de/)
body	ET_201_SCAM_BITCOIN	1	2	scam & bitcoin mail
body	ET_202_AGENT_CONTENT	0.01	2	agent & invoice mail
body	HAS_ATTACHMENT	0	1	Message contains attachments
body	R_PARTS_DIFFER	2	1	Text and HTML parts differ
composite	AUTH_NA	1	1	Authenticating message via SPF/DKIM/DMARC/ARC not possible
composite	AUTOGEN_PHP_SPAMMY	1	1	Message was generated by PHP script and contains some spam indicators
composite	BAD_REP_POLICIES	0.1	1	Contains valid policies but are also marked by fuzzy/bayes/surbl/rbl
composite	BROKEN_HEADERS_MAILLIST	0	1	Negate BROKEN_HEADERS when message comes via some mailing list
composite	COMPROMISED_ACCT_BULK	3	1	Likely to be from a compromised account
composite	ET_010_X_AUTH	0	1	g+:policies | (!g+:policies & (R_SPF_PERMFAIL|R_SPF_DNSFAIL|R_DKIM_PERMFAIL|R_DKIM_TEMPFAIL|DMARC_DNSFAIL|ARC_DNSFAIL)) | (g+:mx & (g+:hfilter | RDNS_NONE)) | ( !g-:policies & (g+:mx | g+:hfilter | RDNS_NONE | (g:mx & (FREEMAIL_ENVFROM | FREEMAIL_FROM)) ) )
composite	ET_017_C3_OK_BUT_PROXY	4	1	!(g:cus.info | g:cus.edm) & ET_003_C3 & (ET_1100_HTTP_TO_MAIL | (URI_COUNT_ODD & BAYES_SPAM | (URI_COUNT_ODD & !BAYES_HAM))) & RCPT_COUNT_ONE & (ET_1030_MSG_DATE_FORMAT | ET_1010_NO_X_MAILER) & (ET_1130_SMTP_PROXY | ET_1140_SMTP_RELAY | RCVD_VIA_SMTP_AUTH)
composite	ET_020_X_AUTH	0	1	((!(g-:statistics | g-:neural) & (g+:statistics | g+:neural)) | g+:surbl) & g+:rbl
composite	ET_044_NO_XM_DATE	5	1	(ET_1010_NO_X_MAILER | ET_1030_MSG_DATE_FORMAT | HAS_PHPMAILER_SIG | ET_1100_HTTP_TO_MAIL | ET_1110_HTTP_TODO_SOMETHING) & RCPT_COUNT_ONE & (MISSING_DATE | DATE_IN_FUTURE | DATE_IN_PAST)
composite	ET_045_BAD_MIME_HAS_FILE_LINK	6	1	!(g:cus.info | g:cus.edm) & !BAYES_HAM & (ET_1010_NO_X_MAILER | ET_1030_MSG_DATE_FORMAT) & RCPT_COUNT_ONE & (CTYPE_MIXED_BOGUS | CTYPE_MISSING_DISPOSITION) & (HAS_ATTACHMENT | (MIME_HTML_ONLY & (ET_1110_HTTP_TODO_SOMETHING | ET_1100_HTTP_TO_MAIL))) & (ET_010_X_AUTH | HFILTER_HOSTNAME_UNKNOWN)
composite	ET_045_C3_BAD_MIME	6	1	ET_003_C3 & ET_045_BAD_MIME_HAS_FILE_LINK
composite	ET_050_C12_ACCEPT_SPOOF_HFILTER	-3	1	(ET_002_C2 | ET_001_C1) & (ET_1015_SPOOF_FROM_DOMAIN_PHISH_URL | HFILTER_HOSTNAME_UNKNOWN) & !(ET_010_X_AUTH | ET_020_X_AUTH)
composite	ET_051_EDM_ACCEPT_SPOOF_HIFILTER	-2	1	(g:cus.info | g:cus.edm) & (ET_1015_SPOOF_FROM_DOMAIN_PHISH_URL | HFILTER_HOSTNAME_UNKNOWN)
composite	ET_100_X_TO	0	1	MISSING_TO | R_UNDISC_RCPT | EMPTY_TO
composite	ET_101_EDM_MARK	0	1	HAS_LIST_UNSUB|MAILLIST|PRECEDENCE_BULK
composite	ET_102_NOT_EDM_X_TO	0	1	!g:cus.edm & ET_100_X_TO
composite	ET_103_GOOGLE_FORMS	6	1	FROM_NEQ_ENVFROM[/.*/,/.+@trix.bounces.google.com/]
composite	ET_104_X_BAYES	0	1	!BAYES_EDM & !BAYES_HAM & !BAYES_SPAM & !BAYES_NOT_EDM & RCPT_COUNT_ONE
composite	ET_105_NEQ_BY_PROGRAM_MIME	3	1	!(g:cus.info | g:cus.edm) & FROM_NEQ_ENVFROM & !BAYES_HAM & (ET_1010_NO_X_MAILER | HAS_PHPMAILER_SIG | ET_1040_MSG_JAVA_FORMAT) & ET_010_X_AUTH & ((MANY_INVISIBLE_PARTS & MIME_HTML_ONLY)|(RCVD_COUNT_ZERO & g+:mx))
composite	ET_106_NEQ_BY_PROGRAM_LINK	2	1	(ET_010_X_AUTH | ET_020_X_AUTH) & FROM_NEQ_ENVFROM & (ET_1010_NO_X_MAILER | HAS_PHPMAILER_SIG | ET_1040_MSG_JAVA_FORMAT) & (ET_1100_HTTP_TO_MAIL | ET_1110_HTTP_TODO_SOMETHING) & (HTML_SHORT_LINK_IMG_1 | HTML_SHORT_LINK_IMG_2 | HTML_SHORT_LINK_IMG_3) & !PRECEDENCE_BULK & !HAS_LIST_UNSUB & !BAYES_EDM
composite	ET_106_X_AUTH	2	1	(FREEMAIL_ENVFROM|FREEMAIL_FROM|FREEMAIL_REPLYTO) & (ET_010_X_AUTH) & !MAILLIST & RCPT_COUNT_ONE
composite	ET_106_X_MAIL	2	1	(FREEMAIL_ENVFROM|FREEMAIL_FROM|FREEMAIL_REPLYTO) & (g+:excessqp | (g+:excessb64 & ((!DMARC_POLICY_ALLOW & !BAYES_HAM) | BAYES_SPAM)))& RCPT_COUNT_ONE
composite	ET_107_X_HEADER	1	1	(ET_106_X_MAIL | ET_106_X_AUTH) & (g+:headers | g+:mime | g+:mime_types)
composite	ET_108_X_DATA	1	1	!(g:cus.info | g:cus.edm)  & ASN & (g+:surbl | g+:headers) & (g+:excessqp | g+:excessb64 | ET_202_AGENT_CONTENT) & (g+:statistics | g+:neural)
composite	ET_109_X_HOSTS	2	1	g:compromised_hosts & ET_100_X_TO
composite	ET_109_X_HOSTS_BL	4	1	g:compromised_hosts & g+:rbl
composite	ET_109_X_HOSTS_SUBJ	3	1	g:compromised_hosts & (FREEMAIL_ENVFROM|FREEMAIL_FROM|FREEMAIL_REPLYTO) & g+:subject
composite	ET_116_TO_EQ_FROM_SUBJECT	6	1	ET_003_C3 & FROM_EQ_ENVFROM & TO_EQ_FROM  & RCPT_COUNT_ONE & (SUBJECT_ENDS_EXCLAIM | SUBJECT_ENDS_QUESTION | SUBJECT_HAS_CURRENCY | SUBJECT_ENDS_SPACES | SUBJECT_HAS_EXCLAIM)
composite	ET_120_TO_EQ_FROM_HEADER	3	1	FROM_EQ_ENVFROM & TO_EQ_FROM  & RCPT_COUNT_ONE & g+:mx & (((ET_1010_NO_X_MAILER | ET_1030_MSG_DATE_FORMAT) & !BAYES_HAM) | RCVD_COUNT_ZERO | FORGED_MUA_OUTLOOK | XM_UA_NO_VERSION | MID_RHS_NOT_FQDN | INVALID_MSGID | URI_COUNT_ODD)
composite	ET_125_TO_EQ_FROM_BAD_IP	3	1	TO_EQ_FROM & ET_010_X_AUTH & RCPT_COUNT_ONE & g+:rbl & (ET_1010_NO_X_MAILER | ET_1030_MSG_DATE_FORMAT | HAS_PHPMAILER_SIG)
composite	ET_131_TO_EQ_FROM_LINK_FILE	3	1	(ET_010_X_AUTH | ET_020_X_AUTH) & FROM_EQ_ENVFROM & TO_EQ_FROM & ET_1010_NO_X_MAILER & ((ET_1100_HTTP_TO_MAIL | ET_1110_HTTP_TODO_SOMETHING | HAS_ATTACHMENT | g+:surbl) & !BAYES_HAM)
composite	ET_135_TO_EQ_FROM_BAD_MIME	6	1	FROM_EQ_ENVFROM & TO_EQ_FROM  & RCPT_COUNT_ONE & ((ET_010_X_AUTH & !BAYES_HAM) | FROM_NEQ_DISPLAY_NAME | (ET_1130_SMTP_PROXY & RCVD_VIA_SMTP_AUTH)) & (MIME_UNKNOWN | MIME_BAD_EXTENSION | MISSING_MIME_VERSION | MIME_DOUBLE_BAD_EXTENSION | BROKEN_CONTENT_TYPE | MIME_MA_MISSING_TEXT | MISSING_MIMEOLE)
composite	ET_136_HEADER_MISSING	12	1	(MISSING_MIME_VERSION | MIME_HEADER_CTYPE_ONLY) & ((MIME_HTML_ONLY | RCVD_NO_TLS_LAST) & ET_1010_NO_X_MAILER & FROM_HAS_DN)
composite	ET_145_TO_NEQ_FROM	6	1	((FROM_NEQ_ENVFROM  & FORGED_RECIPIENTS) | TO_DN_RECIPIENTS) & TO_EQ_FROM & RCPT_COUNT_ONE & !(g:cus.info | g:cus.edm)
composite	ET_151_TO_EQ_FROM_UNKNOWN_LINK_FILE	9	1	(TO_EQ_FROM | TO_DOM_EQ_FROM_DOM) & RCPT_COUNT_ONE & ET_1160_SMTP_HAS_UNKNOWN & ET_1010_NO_X_MAILER & (ET_1100_HTTP_TO_MAIL | HAS_ATTACHMENT)
composite	ET_155_FREE_BUT_AUTH_NA	3	1	FROM_EQ_ENVFROM & R_DKIM_NA & DMARC_NA & MX_GOOD & RCPT_COUNT_ONE & FREEMAIL_ENVFROM
composite	ET_160_FREE_BUT_CHANGE	3	1	FROM_EQ_ENVFROM & R_DKIM_NA & DMARC_NA & MX_GOOD & RCPT_COUNT_ONE & FREEMAIL_ENVFROM & MIME_BASE64_TEXT & RCVD_NO_TLS_LAST
composite	ET_171_FAKE_DOMAIN	9	1	!(g:cus.info | g:cus.edm) & (!BAYES_HAM | ET_104_X_BAYES | DIRECT_TO_MX) & HFILTER_HOSTNAME_UNKNOWN & (RDNS_NONE | RDNS_DNSFAIL) & ((ET_010_X_AUTH & !AUTH_NA) | (RCVD_COUNT_ZERO & !HAS_LIST_UNSUB))
composite	ET_172_C3_FAKE_DOMAIN	6	1	ET_003_C3 & !(g:cus.info | g:cus.edm) & (!BAYES_HAM | ET_104_X_BAYES | DIRECT_TO_MX) & HFILTER_HOSTNAME_UNKNOWN & (RDNS_NONE | RDNS_DNSFAIL) & (ET_010_X_AUTH | RCVD_COUNT_ZERO)
composite	ET_176_FAKE_SEND_ONLY_PIC	12	1	FROM_EQ_ENVFROM & FREEMAIL_ENVFROM & RCPT_COUNT_ONE & R_EMPTY_IMAGE & ((MISSING_MIME_VERSION & MIME_HEADER_CTYPE_ONLY) | (MIME_BASE64_TEXT & ET_010_X_AUTH))
composite	ET_178_DIRECT_SEND_NEQ	1	1	(ET_010_X_AUTH | ET_020_X_AUTH) & RCPT_COUNT_ONE & RCVD_COUNT_ONE & (ONCE_RECEIVED | ONCE_RECEIVED_STRICT) & FROM_NEQ_ENVFROM & (ET_1160_SMTP_HAS_UNKNOWN | ET_1130_SMTP_PROXY)
composite	ET_179_DIRECT_SEND_NEQ_MIME	8	1	RCPT_COUNT_ONE & RCVD_COUNT_ONE & (ONCE_RECEIVED | ONCE_RECEIVED_STRICT) & FROM_NEQ_ENVFROM & (ET_1160_SMTP_HAS_UNKNOWN | ET_1130_SMTP_PROXY | HFILTER_HOSTNAME_UNKNOWN) & MIME_BASE64_TEXT & MANY_INVISIBLE_PARTS
composite	ET_180_EQ_SMTP_AUTH_TLS	6	1	FROM_EQ_ENVFROM & RCVD_VIA_SMTP_AUTH & RCVD_TLS_LAST & (FREEMAIL_ENVFROM & ET_010_X_AUTH) & RCPT_COUNT_ONE & (RCVD_COUNT_THREE | RCVD_COUNT_FIVE) & !PRECEDENCE_BULK & !HAS_LIST_UNSUB
composite	ET_185_EQ_SMTP_AUTH_MIME	3	1	RCVD_VIA_SMTP_AUTH  & RCPT_COUNT_ONE & ((MIME_BASE64_TEXT & MIME_HTML_ONLY) | MIME_UNKNOWN | MIME_BAD_EXTENSION | MISSING_MIME_VERSION | MIME_MA_MISSING_TEXT | MISSING_MIMEOLE | MIME_DOUBLE_BAD_EXTENSION | BROKEN_CONTENT_TYPE) & (ET_010_X_AUTH | FROM_NEQ_DISPLAY_NAME)
